filename,width,height,class,xmin,ymin,xmax,ymax
wavelet_hor_6406_3_2_4285_4286.jpg,224,2026,scal,46,239,166,341
wavelet_hor_6406_3_2_4285_4286.jpg,224,2026,hplug,33,470,108,549
wavelet_hor_6406_3_2_4285_4286.jpg,224,2026,hplug,23,897,98,968
wavelet_hor_6406_3_2_4285_4286.jpg,224,2026,hplug,25,1691,102,1760
wavelet_hor_6406_3_2_4285_4286.jpg,224,2026,vplug,121,424,196,612
wavelet_hor_6406_3_2_4285_4286.jpg,224,2026,vplug,123,1587,212,1816
wavelet_vert_6406_3_2_3940_3941.jpg,220,1943,hplug,135,72,215,152
wavelet_vert_6406_3_2_3940_3941.jpg,220,1943,hplug,121,442,201,524
wavelet_vert_6406_3_2_3940_3941.jpg,220,1943,hplug,117,1046,193,1120
wavelet_vert_6406_3_2_3940_3941.jpg,220,1943,hplug,113,1426,189,1494
wavelet_vert_6406_3_2_3940_3941.jpg,220,1943,scal,85,644,193,754
wavelet_vert_6406_3_2_3940_3941.jpg,220,1943,scal,39,738,151,844
wavelet_vert_6406_3_2_3940_3941.jpg,220,1943,scal,55,850,169,956
wavelet_vert_6406_3_2_3940_3941.jpg,220,1943,vplug,25,1050,101,1228
wavelet_vert_6406_3_2_3940_3941.jpg,220,1943,vplug,15,1378,83,1566
wavelet_vert_6406_3_2_3940_3941.jpg,220,1943,vplug,15,76,97,294
wavelet_hor_6406_3_2_4022_4023.jpg,217,1963,vplug,49,1,129,160
wavelet_hor_6406_3_2_4022_4023.jpg,217,1963,vplug,41,1441,115,1592
wavelet_hor_6406_3_2_4022_4023.jpg,217,1963,hplug,133,417,213,488
wavelet_hor_6406_3_2_4022_4023.jpg,217,1963,hplug,129,753,209,827
wavelet_hor_6406_3_2_4022_4023.jpg,217,1963,hplug,127,1474,215,1556
wavelet_hor_6406_3_2_4022_4023.jpg,217,1963,scal,43,1751,145,1843
wavelet_hor_6406_3_2_4022_4023.jpg,217,1963,scal,45,1843,145,1941
wavelet_hor_6406_3_2_4081_4082.jpg,226,1944,vplug,18,435,92,603
wavelet_hor_6406_3_2_4081_4082.jpg,226,1944,vplug,20,1403,98,1575
wavelet_hor_6406_3_2_4081_4082.jpg,226,1944,hplug,138,451,212,525
wavelet_hor_6406_3_2_4081_4082.jpg,226,1944,hplug,126,69,210,141
wavelet_hor_6406_3_2_4081_4082.jpg,226,1944,hplug,140,953,210,1025
wavelet_hor_6406_3_2_4081_4082.jpg,226,1944,hplug,112,1445,190,1517
wavelet_hor_6406_3_2_4081_4082.jpg,226,1944,scal,38,1181,142,1275
wavelet_hor_6406_3_2_4081_4082.jpg,226,1944,scal,48,1277,158,1373
wavelet_hor_6406_3_2_3991_3992.jpg,227,1960,hplug,136,63,208,137
wavelet_hor_6406_3_2_3991_3992.jpg,227,1960,hplug,124,475,202,545
wavelet_hor_6406_3_2_3991_3992.jpg,227,1960,hplug,128,935,200,1009
wavelet_hor_6406_3_2_3991_3992.jpg,227,1960,hplug,124,1417,198,1487
wavelet_hor_6406_3_2_3991_3992.jpg,227,1960,vplug,44,11,112,153
wavelet_hor_6406_3_2_3991_3992.jpg,227,1960,vplug,32,407,94,499
wavelet_hor_6406_3_2_3991_3992.jpg,227,1960,scal,70,289,174,385
wavelet_hor_6406_3_2_3991_3992.jpg,227,1960,scal,68,189,172,285
wavelet_hor_6406_3_2_4324_4325.jpg,212,1930,hplug,17,814,95,890
wavelet_hor_6406_3_2_4324_4325.jpg,212,1930,hplug,13,1326,91,1402
wavelet_hor_6406_3_2_4324_4325.jpg,212,1930,scal,47,986,147,1088
wavelet_hor_6406_3_2_4324_4325.jpg,212,1930,scal,47,1104,153,1206
wavelet_hor_6406_3_2_4324_4325.jpg,212,1930,vplug,105,1248,183,1432
wavelet_hor_6406_3_2_4324_4325.jpg,212,1930,vplug,107,742,187,954
wavelet_vert_6406_3_2_3956_3957.jpg,201,1952,vplug,121,1,201,67
wavelet_vert_6406_3_2_3956_3957.jpg,201,1952,vplug,45,465,125,607
wavelet_vert_6406_3_2_3956_3957.jpg,201,1952,vplug,113,1205,201,1353
wavelet_vert_6406_3_2_3956_3957.jpg,201,1952,vplug,19,871,103,1021
wavelet_vert_6406_3_2_3956_3957.jpg,201,1952,hplug,127,441,201,510
